"Ref Lieu","Siret","Nom","Adresse","Département","Email contact","Latitude","Longitude","Lien Image","Date MAJ"
"1","12345678901231","LE CENTQUATRE-PARIS","5 rue Curial - 75019 Paris","75","d.marcadet@104.fr","48.8900491","2.3706808","https://i2.wp.com/www.parisvox.info/wp-content/uploads/2017/06/logo_104.png","05/03/2018 13h00"
"2","22345678901232","Odéon","Place de l'Odéon - 75006 Paris","75","olivier.schnoering@theatre-odeon.fr","48.8462","2.366","https://www.sceneweb.fr/file/2015/09/odeon-variantes_logo.jpg","29/03/2018 14h00"
"3","32345678901233","Ateliers Berthier","32 boulevard Berthier - 75017 Paris","75","olivier.schnoering@theatre-odeon.fr","48.8902","2.3375","https://www.sceneweb.fr/file/2015/09/odeon-variantes_logo.jpg","29/03/2018 14h01"
"4","42345678901234","MC93","9 boulevard Lénine - 93000 Bobigny","93","chavaroche@mc93.com","48.9034","2.4669","https://pbs.twimg.com/profile_images/739866852701114368/qSQe6Z4C.jpg","29/03/2018 14h02"
"5","52345678901235","Espace Django","4 impasse Kiefer - 67100 Strasbourg","67","pierre@espacedjango.eu","48.5462","7.767393","http://www.espacedjango.eu/wp-content/uploads/2016/12/logodjangejaune.png","09/04/2018 17h00"
"6","62345678901236","La Villette","211 avenue Jean Jaurès - 75019 Paris","75","a.courson@villette.com","48.8883885","2.37244469999996","",""
"7","72345678901237","Théâtre 1789","","","","","","",""
"8","82345678901238","Hall de la Chanson","","","","","","",""
"9","92345678901239","Centre national de la Danse","","","","","","",""
"10","10345678901210","Château de Versailles","","","","","","",""
"11","11345678901211","Micro-Folies","","","","","","",""
"12","13345678901212","Théâtre national de Chaillot","","","","","","",""
"13","14345678901213","Librairie Le Grain des mots","13 Boulevard du Jeu de Paume, 34000 Montpellier","34","toto@btmx.fr","43.60728","3.87458","","18/04/2018 8h44"
"14","15345678901214","Librairie Sauramps","Centre commercial Le Triangle, Allée Jules Milhau, 34000 Montpellier","34","toto@btmx.fr","43.60898","3.88253","","18/04/2018 8h44"
"15","16345678901215","Amis Librairie","Les Cinq Continents, 20 Rue Jacques Cœur, 34000 Montpellier","34","toto@btmx.fr","43.64822","3.94417","","18/04/2018 8h44"
"16","17345678901216","Librairie Nemo","35 Rue de l'Aiguillerie, 34000 Montpellier","34","toto@btmx.fr","43.61257","3.87914","","18/04/2018 8h44"
